codigo_ibge,ano,familias_beneficiarias,valor_total,valor_medio,valor_por_familia
412420,2025,129,1008228.0,653.36,652.13
412430,2025,131,1038554.0,667.34,660.1
412440,2025,1080,8656162.0,670.51,668.36
412450,2025,83,660464.0,663.47,660.65
412460,2025,439,3401835.0,650.55,645.54
412470,2025,981,8086763.0,689.61,687.17
412480,2025,350,2690088.0,644.98,640.44
412490,2025,510,4044245.0,663.63,661.54
412500,2025,706,5404116.0,640.95,638.75
412510,2025,582,4528972.0,650.98,648.69
412520,2025,228,1598693.0,586.6,584.39
412530,2025,179,1252975.0,592.83,584.55
412535,2025,178,1427651.0,668.18,667.51
412540,2025,337,2815381.0,697.68,697.33
412545,2025,265,2119126.0,669.03,665.56
412550,2025,15883,124969050.0,661.16,656.1
412555,2025,68,510655.0,623.58,623.58
412560,2025,1710,11595802.0,571.74,565.49
412570,2025,1605,13286487.0,692.08,689.57
412575,2025,558,4398941.0,664.11,656.78
412580,2025,649,5092974.0,658.43,654.1
412590,2025,87,704890.0,672.05,672.05
412600,2025,879,6837692.0,651.08,648.38
412610,2025,239,1811721.0,633.88,631.39
412620,2025,695,5476143.0,663.78,656.92
412625,2025,3437,27443771.0,675.44,665.63
412627,2025,367,2853566.0,652.21,648.6
412630,2025,846,6971370.0,687.98,686.97
412635,2025,160,1306974.0,684.44,679.8
412640,2025,232,1783099.0,642.08,640.31
412650,2025,742,5741615.0,649.55,644.66
412660,2025,1034,8132238.0,657.97,655.55
412665,2025,161,1253977.0,652.93,649.91
412667,2025,746,5930797.0,665.29,663.35
412670,2025,283,2126486.0,633.26,625.39
412680,2025,655,5230005.0,669.04,666.11
412690,2025,323,2413608.0,628.24,622.54
412700,2025,843,6913855.0,685.82,683.79
412710,2025,1812,14607719.0,683.66,671.59
412720,2025,457,3265727.0,602.53,597.36
412730,2025,1089,8590819.0,663.37,657.57
412740,2025,619,5077501.0,695.5,683.2
412750,2025,2064,16531030.0,672.66,667.43
412760,2025,1706,13610438.0,667.76,664.76
412770,2025,3554,27375537.0,645.94,641.94
412780,2025,476,3594329.0,631.8,629.92
412785,2025,992,7637627.0,650.29,641.64
412788,2025,744,6177907.0,697.07,692.33
412790,2025,447,3547950.0,670.57,660.83
412795,2025,305,2391756.0,660.64,654.82
412796,2025,993,7660956.0,644.17,642.72
412800,2025,1736,13403385.0,646.18,643.97
412810,2025,4528,35773299.0,664.8,658.46
412820,2025,2335,18460672.0,662.3,659.08
412830,2025,131,1019643.0,653.89,651.3
