codigo_ibge,referencia,ano,mes,familias_beneficiarias,valor_total,valor_medio,valor_por_familia
170900,202512,2025,12,2172,1621986.0,758.65,746.7707182320441
170930,202512,2025,12,2058,1375393.0,670.92,668.3153547133139
170950,202512,2025,12,3634,2508418.0,695.24,690.26362135388
170980,202512,2025,12,154,100448.0,656.52,652.2597402597403
171050,202512,2025,12,1208,883471.0,734.39,731.350165562914
171070,202512,2025,12,958,671745.0,701.93,701.1951983298538
171090,202512,2025,12,446,296413.0,667.6,664.603139013453
171110,202512,2025,12,262,183058.0,698.69,698.6946564885496
171150,202512,2025,12,267,181652.0,680.34,680.3445692883895
171180,202512,2025,12,257,181999.0,716.53,708.1673151750973
171190,202512,2025,12,1611,1212112.0,755.68,752.397268777157
171195,202512,2025,12,428,324540.0,772.71,758.2710280373832
171200,202512,2025,12,227,147588.0,650.17,650.1674008810572
171215,202512,2025,12,218,145562.0,667.72,667.7155963302753
171240,202512,2025,12,443,331193.0,749.31,747.6139954853273
171245,202512,2025,12,307,205795.0,679.19,670.342019543974
171250,202512,2025,12,412,302027.0,734.86,733.0752427184466
171270,202512,2025,12,316,228167.0,726.65,722.0474683544304
171280,202512,2025,12,497,350781.0,711.52,705.7967806841046
171320,202512,2025,12,1476,1001207.0,687.17,678.3245257452575
171330,202512,2025,12,1376,942204.0,694.84,684.7412790697674
171360,202512,2025,12,759,543280.0,720.53,715.7839262187089
171370,202512,2025,12,282,194600.0,690.07,690.0709219858156
171380,202512,2025,12,775,536807.0,692.65,692.6541935483871
171395,202512,2025,12,507,360970.0,711.97,711.9723865877712
171420,202512,2025,12,1037,708087.0,685.47,682.8225650916104
171430,202512,2025,12,524,358454.0,696.03,684.0725190839695
171488,202512,2025,12,1317,914100.0,697.79,694.0774487471526
171500,202512,2025,12,316,206348.0,667.79,653.0
171510,202512,2025,12,602,428206.0,713.68,711.3056478405316
171515,202512,2025,12,218,144526.0,662.96,662.9633027522935
171525,202512,2025,12,349,251998.0,724.13,722.0573065902579
171550,202512,2025,12,122,81545.0,673.93,668.4016393442623
171570,202512,2025,12,640,430345.0,684.17,672.4140625
171575,202512,2025,12,682,440028.0,654.8,645.2023460410558
171610,202512,2025,12,1540,1036534.0,677.92,673.074025974026
171620,202512,2025,12,1832,1268712.0,694.04,692.528384279476
171630,202512,2025,12,544,381881.0,720.53,701.9871323529412
171650,202512,2025,12,1060,757848.0,719.02,714.9509433962264
171660,202512,2025,12,1048,739866.0,707.33,705.9790076335878
171665,202512,2025,12,504,331420.0,658.89,657.5793650793651
171670,202512,2025,12,939,622181.0,669.01,662.5995740149094
171700,202512,2025,12,578,408012.0,707.13,705.9031141868512
171720,202512,2025,12,355,248512.0,702.01,700.0338028169014
171750,202512,2025,12,544,393874.0,736.21,724.0330882352941
171780,202512,2025,12,575,378610.0,661.91,658.4521739130435
171790,202512,2025,12,714,508580.0,718.33,712.296918767507
171800,202512,2025,12,351,240419.0,686.91,684.9544159544159
171820,202512,2025,12,4781,3330261.0,699.63,696.5615979920518
171830,202512,2025,12,918,675258.0,736.38,735.5751633986928
171840,202512,2025,12,338,219827.0,654.25,650.3757396449704
171845,202512,2025,12,342,234010.0,688.26,684.2397660818714
171850,202512,2025,12,789,570778.0,723.42,723.4195183776933
171855,202512,2025,12,477,327801.0,688.66,687.2138364779875
171865,202512,2025,12,269,194383.0,728.03,722.6133828996283
171870,202512,2025,12,336,235632.0,703.38,701.2857142857143
171875,202512,2025,12,918,631493.0,696.24,687.9008714596949
171880,202512,2025,12,964,702540.0,733.34,728.7759336099585
171884,202512,2025,12,622,436346.0,702.65,701.5209003215434
171886,202512,2025,12,610,431897.0,710.36,708.027868852459
171888,202512,2025,12,245,162446.0,665.76,663.0448979591837
171889,202512,2025,12,175,115446.0,663.48,659.6914285714286
171890,202512,2025,12,604,437319.0,730.08,724.0380794701987
171900,202512,2025,12,277,214378.0,785.27,773.9277978339351
172000,202512,2025,12,199,127875.0,645.83,642.5879396984925
172010,202512,2025,12,979,698359.0,715.53,713.3391215526048
172015,202512,2025,12,185,118885.0,642.62,642.6216216216217
172020,202512,2025,12,1975,1381617.0,699.91,699.552911392405
172025,202512,2025,12,330,227039.0,690.09,687.9969696969697
172030,202512,2025,12,713,498704.0,701.41,699.4446002805049
172049,202512,2025,12,569,391783.0,689.76,688.5465729349736
172065,202512,2025,12,740,534014.0,722.62,721.6405405405405
172080,202512,2025,12,1390,988946.0,713.53,711.4719424460432
172085,202512,2025,12,115,77086.0,670.31,670.3130434782609
172090,202512,2025,12,2411,1632492.0,679.64,677.1016175860639
