codigo_ibge,ano,familias_beneficiarias,valor_total,valor_medio,valor_por_familia
210325,2023,2645,18497742.0,707.98,699.12
210330,2023,18430,131882492.0,723.93,715.12
210340,2023,9801,66388566.0,695.66,677.73
210350,2023,8601,59694551.0,695.25,694.06
210355,2023,2991,15467244.0,728.43,517.17
210360,2023,9991,68572386.0,705.91,686.44
210370,2023,9257,60899001.0,678.08,657.94
210375,2023,1666,11638578.0,698.83,698.45
210380,2023,4482,30694679.0,689.96,685.02
210390,2023,3056,21212667.0,714.11,693.9
210400,2023,3824,25809316.0,697.4,674.9
210405,2023,4637,32038812.0,695.06,690.94
210407,2023,1586,11288690.0,711.94,711.71
210408,2023,2545,19457345.0,764.49,764.34
210409,2023,3326,23836566.0,717.15,716.57
210410,2023,2652,18422131.0,699.32,694.73
210420,2023,3167,23045879.0,727.96,727.38
210430,2023,1932,13249286.0,714.4,685.74
210440,2023,3503,24597394.0,702.76,702.19
210450,2023,1732,12209591.0,705.3,704.54
210455,2023,2904,20071729.0,693.03,691.27
210460,2023,2630,18670760.0,710.55,710.07
210462,2023,1263,8968742.0,710.35,710.18
210465,2023,2287,14651281.0,696.09,640.53
210467,2023,4970,30632731.0,708.0,616.49
210470,2023,1192,8326786.0,701.25,698.49
210480,2023,12115,89026909.0,745.5,734.43
210490,2023,2440,14102738.0,678.94,577.95
210500,2023,5888,42854292.0,752.09,727.69
210510,2023,6171,41326585.0,715.55,669.73
210515,2023,3021,20038907.0,727.52,663.28
210520,2023,2182,15072013.0,696.44,690.79
210530,2023,28806,201212754.0,699.68,698.34
210535,2023,3410,24807935.0,733.59,727.25
210540,2023,10588,72496703.0,717.46,684.6
210542,2023,4293,28946206.0,696.59,674.28
210545,2023,1856,13087223.0,705.77,705.28
210547,2023,3063,24005846.0,785.37,783.55
210550,2023,3597,25661497.0,713.88,713.31
210560,2023,3120,20236183.0,713.23,648.35
210565,2023,1074,7179087.0,718.17,668.52
210570,2023,9394,63215042.0,696.0,672.94
210580,2023,1997,13045717.0,696.87,653.24
210590,2023,3336,21965391.0,723.12,658.47
210592,2023,2489,17240424.0,693.05,693.05
210594,2023,1615,10292528.0,691.25,637.44
210596,2023,2526,15690996.0,722.77,621.01
210598,2023,1675,11842417.0,708.82,707.45
210600,2023,2078,14388154.0,694.16,692.48
210610,2023,2459,16983501.0,691.02,690.74
210620,2023,2276,14701486.0,687.36,646.05
210630,2023,2541,16425091.0,709.34,646.71
210632,2023,5055,32701895.0,700.62,646.8
210635,2023,1444,9534167.0,724.37,660.39
210637,2023,2099,13101016.0,728.94,623.58
210640,2023,4445,32107704.0,731.7,722.39
210650,2023,6002,31391994.0,683.88,523.14
210660,2023,6674,48154729.0,722.21,722.08
210663,2023,2426,15930817.0,700.87,656.56
210667,2023,1701,12059847.0,722.26,708.87
210670,2023,5156,36230678.0,704.72,702.76
210675,2023,4268,26510875.0,681.69,621.14
210680,2023,4222,27030300.0,679.64,640.24
210690,2023,7355,46966854.0,705.02,638.53
210700,2023,2005,14110602.0,703.85,703.68
210710,2023,4601,30646358.0,721.24,666.18
210720,2023,2677,19035263.0,750.92,711.01
210725,2023,902,6466165.0,717.38,716.59
210730,2023,1156,7318001.0,674.52,632.87
210735,2023,3531,17875094.0,695.15,506.45
210740,2023,4170,25561049.0,675.12,612.99
210745,2023,3492,20069601.0,680.33,574.85
210750,2023,17544,119981818.0,696.08,683.81
210760,2023,5404,34464189.0,682.14,637.62
210770,2023,5150,35736943.0,694.81,694.42
210780,2023,5764,41321217.0,717.52,717.0
210790,2023,3729,26736545.0,717.04,716.98
210800,2023,4078,28372015.0,697.17,695.73
210805,2023,3764,27253837.0,749.17,723.99
210810,2023,4310,29544606.0,706.12,685.35
210820,2023,4740,32310163.0,691.75,681.49
210825,2023,7580,47478344.0,693.26,626.31
210830,2023,7379,49239756.0,715.87,667.54
210840,2023,4344,25780968.0,652.32,593.53
210845,2023,5204,35911757.0,704.56,690.42
210850,2023,5713,35084621.0,711.91,614.03
210860,2023,16065,98167818.0,689.19,610.91
210870,2023,5572,28167116.0,674.18,506.06
210880,2023,3362,23083479.0,702.26,686.69
210890,2023,4466,29677529.0,668.86,664.63
210900,2023,2484,17376687.0,703.94,699.41
210905,2023,2028,11597063.0,661.44,571.75
210910,2023,5028,34702330.0,695.62,690.2
210920,2023,2816,19691694.0,739.72,699.36
210923,2023,1538,8993838.0,675.16,584.77
210927,2023,3627,24463975.0,748.25,674.04
210930,2023,2313,15837109.0,736.78,685.77
210940,2023,3087,20626929.0,703.15,668.3
